date,type,address,city,zip,price,beds,baths,neighborhood,sqft,lotsize,year,hoa,url,mls,latitude,longitude,dist
November-2-2022,condo,25 Speridakis Ter #25,Cambridge,2139,715000,3,1,Cambridgeport,1031,NA,1920,200,https://www.redfin.com/MA/Cambridge/25-Speridakis-Ter-02139/unit-25/home/182124118,73044349,42.3601006,-71.1063784,1.826444091
November-30-2022,condo,12 Putnam St #1,Somerville,2143,1360000,3,3.5,Union Square,2433,NA,1920,250,https://www.redfin.com/MA/Somerville/12-Putnam-St-02143/unit-1/home/182262050,73046467,42.3836884,-71.0988235,2.003504535
November-30-2022,multifamily,31 Harrison St,Somerville,2143,1115000,5,2,Somerville,2176,2849,1920,NA,https://www.redfin.com/MA/Somerville/31-Harrison-St-02143/home/8712846,73049979,42.3820724,-71.1096083,1.219010099
October-14-2022,condo,21 Windom St #2,Somerville,2144,1515000,4,2,Davis Square,2307,NA,1920,1,https://www.redfin.com/MA/Somerville/21-Windom-St-02144/unit-2/home/8752112,73031401,42.3934936,-71.1195763,2.215052356
October-26-2022,condo,44 Langdon St #8,Cambridge,2138,780000,2,1,Harvard Square,929,NA,1920,471,https://www.redfin.com/MA/Cambridge/44-Langdon-St-02138/unit-8/home/11576838,73041129,42.3804402,-71.12151,0.788927754
October-27-2022,condo,60 Pearson Ave #1,Somerville,2144,755000,2,1.5,Somerville,1138,NA,1920,200,https://www.redfin.com/MA/Somerville/60-Pearson-Ave-02144/unit-1/home/181464831,73032194,42.3966278,-71.1117901,2.631099246
October-28-2022,condo,72 Trull St Unit B,Somerville,2145,545500,2,1,Magoun Square,932,NA,1920,150,https://www.redfin.com/MA/Somerville/72-Trull-St-02145/unit-B/home/12389822,73034120,42.3954401,-71.1035018,2.744959876
September-15-2023,condo,22 Concord Ave #5,Cambridge,2138,603000,1,1,Cambridge,636,NA,1920,437,https://www.redfin.com/MA/Cambridge/22-Concord-Ave-02138/unit-5/home/11586710,73135204,42.3789761,-71.125099,0.78084373
September-18-2023,condo,35 Pemberton St #8,Cambridge,2140,950000,2,1,Porter Square,1004,NA,1920,514,https://www.redfin.com/MA/Cambridge/35-Pemberton-St-02140/unit-8/home/11549771,73145836,42.3914568,-71.1255938,2.060426882
September-22-2023,condo,223 School St #2,Somerville,2145,819000,3,2,Somerville,2160,NA,1920,NA,https://www.redfin.com/MA/Somerville/223-School-St-02145/unit-2/home/8752075,73149263,42.3912423,-71.0955265,2.753647321
September-30-2022,condo,38 Linnaean #8,Cambridge,2138,586000,1,1,Neighborhood 9,625,NA,1920,497,https://www.redfin.com/MA/Cambridge/38-Linnaean-St-02138/unit-8/home/11585721,73032725,42.3835149,-71.1232155,1.156878805
September-30-2022,condo,25 Banks St #2,Somerville,2144,1260000,4,2,Davis Square,1883,NA,1920,NA,https://www.redfin.com/MA/Somerville/25-Banks-St-02144/unit-2/home/8750234,73023432,42.391583,-71.117357,2.006411951
September-6-2023,multifamily,142 Powder House Blvd,Somerville,2144,1553000,4,3,Tufts University,3014,4356,1920,NA,https://www.redfin.com/MA/Somerville/142-Powder-House-Blvd-02144/home/8688518,73130408,42.4047366,-71.1247762,3.498494326
September-7-2023,condo,312 Beacon St #2,Somerville,2143,977000,2,1.5,Somerville,1257,NA,1920,183,https://www.redfin.com/MA/Somerville/312-Beacon-St-02143/unit-2/home/11796050,73143290,42.3840823,-71.1138204,1.242189675
July-19-2023,multifamily,11 Day St,Cambridge,2140,1995000,6,2.5,North Cambridge,3680,5324,1923,NA,https://www.redfin.com/MA/Cambridge/11-Day-St-02140/home/11579402,73122005,42.3945447,-71.1257502,2.396707647
June-21-2023,condo,333 Harvard St #1,Cambridge,2139,705000,2,1,Cambridge,754,NA,1923,571,https://www.redfin.com/MA/Cambridge/333-Harvard-St-02139/unit-1/home/17177089,73112964,42.3708138,-71.1086303,0.907462703
November-30-2022,condo,204 Lexington Ave #204,Cambridge,2138,1650000,3,2,West Cambridge,1900,NA,1923,320,https://www.redfin.com/MA/Cambridge/204-Lexington-Ave-02138/unit-204/home/175165895,73049920,42.3811976,-71.1417117,2.050249726
October-19-2022,singlefamily,65 Larchwood Dr,Cambridge,2138,3605000,3,3,Cambridge,3418,7896,1923,NA,https://www.redfin.com/MA/Cambridge/65-Larchwood-Dr-02138/home/11592150,73036985,42.3777436,-71.1456652,2.240836439
August-8-2023,multifamily,213 Fayerweather St,Cambridge,2138,1700000,7,2,Cambridge,2522,4421,1924,NA,https://www.redfin.com/MA/Cambridge/213-Fayerweather-St-02138/home/11593697,73123843,42.3853083,-71.1331774,1.748686819
June-23-2023,condo,55-57 Grove St #55,Somerville,2144,1226000,3,2,Davis Square,1698,NA,1924,240,https://www.redfin.com/MA/Somerville/55-Grove-St-02144/unit-000055/home/8755452,73102653,42.3965926,-71.1197377,2.560243156
December-23-2022,multifamily,13 Arlington St,Somerville,2145,1100000,6,3,East Somerville,2937,5087,1925,NA,https://www.redfin.com/MA/Somerville/13-Arlington-St-02145/home/8736647,73055007,42.3860993,-71.0820552,3.341481571
July-12-2023,townhouse,101 Hammond St #101,Cambridge,2138,1115000,3,2,Agassiz,1787,NA,1925,376,https://www.redfin.com/MA/Cambridge/101-Hammond-St-02138/unit-101/home/11573375,73121934,42.3816818,-71.1129511,1.028018425
July-6-2023,multifamily,204-206 Lakeview,Cambridge,2138,2815000,5,3,West Cambridge,3316,7374,1925,NA,https://www.redfin.com/MA/Cambridge/204-Lake-View-Ave-02138/home/11590469,73109609,42.3821478,-71.1406909,2.021650486
September-28-2023,condo,22 Belmont St #1,Watertown,2472,525000,2,1,East Watertown,1017,NA,1925,300,https://www.redfin.com/MA/Watertown/22-Belmont-St-02472/unit-1/home/11704643,73149252,42.3746104,-71.1513384,2.661835348
September-7-2023,multifamily,42 Clarendon Ave,Somerville,2144,1500000,6,3,Teele Square,3375,4223,1925,NA,https://www.redfin.com/MA/Somerville/42-Clarendon-Ave-02144/home/8688165,73121832,42.4022632,-71.1288139,3.291218835
December-19-2022,condo,10 Corporal Mcternan St #304,Cambridge,2139,1301000,3,2,Cambridge,1390,NA,1926,930,https://www.redfin.com/MA/Cambridge/10-Corporal-McTernan-St-02139/unit-304/home/28944002,73053594,42.3606289,-71.1075764,1.722710232
June-20-2023,condo,24 Camp St #1,Cambridge,2140,1500000,4,3,North Cambridge,2021,NA,1926,362,https://www.redfin.com/MA/Cambridge/24-Camp-St-02140/unit-1/home/183919669,73104149,42.3986937,-71.1297767,2.930586354
October-27-2022,multifamily,37-39 Lafayette St,Arlington,2474,1050000,5,2,Arlington,2448,3999,1926,NA,https://www.redfin.com/MA/Arlington/37-Lafayette-St-02474/unit-39/home/8399195,73026168,42.4006111,-71.1392142,3.435635632
October-31-2022,condo,39 Aberdeen Ave #39,Cambridge,2138,680000,2,1,West Cambridge,860,NA,1926,150,https://www.redfin.com/MA/Cambridge/39-Aberdeen-Ave-02138/unit-39/home/181764835,73036567,42.3764695,-71.146095,2.250996128
April-4-2023,multifamily,5-7 Colby St,Belmont,2478,980000,4,2,Belmont,2112,4593,1927,NA,https://www.redfin.com/MA/Belmont/5-7-Colby-St-02478/home/8437607,73085532,42.392078,-71.158177,3.822112277
August-16-2023,condo,31 Chilton St #1,Cambridge,2138,975000,2,1,West Cambridge,948,NA,1927,197,https://www.redfin.com/MA/Cambridge/31-Chilton-St-02138/unit-1/home/180947216,73135171,42.3821771,-71.1383299,1.854279883
July-28-2023,singlefamily,8 Chetwynd Rd,Cambridge,2140,1930000,3,2.5,Cambridge,1748,3663,1928,NA,https://www.redfin.com/MA/Cambridge/8-Chetwynd-Rd-02140/home/11584521,73124851,42.3865221,-71.1285354,1.638305387
June-13-2023,singlefamily,106 Coolidge Hl,Cambridge,2138,5500000,7,6.5,Coolidge Hill,5501,9062,1928,NA,https://www.redfin.com/MA/Cambridge/106-Coolidge-Hl-02138/home/11594960,73112076,42.37288,-71.1394207,1.681300118
